
Right_Rokos Log File
Start Time = 2021-09-30 13:15:08.715463
Finish Time = 2021-09-30 13:36:00.252455

Time Difference = 0:20:51.536992

------------------------------------------------

[[[-7.8, -2.84, 1.903, -10.0, -0.0], [1, 3, 2, 4, 5], [35269, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.24, 2.503, -10.0, -0.0], [1, 3, 2, 4, 5], [35270, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.24, 2.803, -10.0, -10.0], [1, 3, 2, 4, 5], [35271, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.84, 2.803, -10.0, -0.0], [1, 3, 2, 4, 5], [35272, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.54, 3.103, -10.0, 10.0], [1, 3, 2, 4, 5], [35273, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.84, 3.403, -10.0, -10.0], [1, 3, 2, 4, 5], [35274, '13M38_1', 1, 'ARKA']],
 [[-7.8, -2.84, 3.703, -0.0, 10.0], [1, 3, 2, 4, 5], [35275, '13M38_1', 1, 'ARKA']],
 [[-6.621, -1.146, 3.703, -90.0, 10.0], [1, 3, 2, 4, 5], [35277, '13M38_1', 1, 'DIS']],
 [[-6.321, -2.84, 0.641, 10.0, 80.0], [1, 3, 2, 4, 5], [35279, '13M38_1', 1, 'ALT']],
 [[-6.021, -2.84, 0.641, -10.0, 100.0], [1, 3, 2, 4, 5], [35280, '13M38_1', 1, 'ALT']],
 [[-6.021, -1.146, 2.803, -90.0, -0.0], [1, 3, 2, 4, 5], [35282, '13M38_1', 1, 'DIS']],
 [[-5.721, -1.146, 2.203, -90.0, 10.0], [1, 3, 2, 4, 5], [35283, '13M38_1', 1, 'DIS']],
 [[-5.071, -1.94, 3.491, -80.0, -60.0], [1, 3, 2, 4, 5], [35287, '13M38_1', 1, 'IC_3']],
 [[-5.071, -1.94, 3.491, -90.0, -30.0], [1, 3, 2, 4, 5], [35288, '13M38_1', 1, 'IC_3']],
 [[-5.071, -1.94, 3.491, -90.0, -40.0], [1, 3, 2, 4, 5], [35289, '13M38_1', 1, 'IC_3']],
 [[-5.071, -1.94, 3.491, -90.0, -50.0], [1, 3, 2, 4, 5], [35290, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.24, 3.491, -90.0, -90.0], [1, 3, 2, 4, 5], [35291, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -0.0, -50.0], [1, 3, 2, 4, 5], [35292, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -0.0, -60.0], [1, 3, 2, 4, 5], [35293, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -80.0, -40.0], [1, 3, 2, 4, 5], [35294, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -80.0, -60.0], [1, 3, 2, 4, 5], [35295, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -90.0, 40.0], [1, 3, 2, 4, 5], [35296, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.54, 3.491, -90.0, -30.0], [1, 3, 2, 4, 5], [35297, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.84, 3.491, -0.0, 10.0], [1, 3, 2, 4, 5], [35298, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.84, 3.491, -40.0, 40.0], [1, 3, 2, 4, 5], [35299, '13M38_1', 1, 'IC_3']],
 [[-5.071, -2.84, 3.491, -90.0, -40.0], [1, 3, 2, 4, 5], [35300, '13M38_1', 1, 'IC_3']],
